WAVENUMBER         COMPLEX_FREQUENCY   RESIDUAL_OUTPUT_D(w, k)              PDF_ARGUMENT

1.439e-07       2.092e+01-1.976e-23j     -2.796e-08-4.115e-16j     -8.184e+01-6.277e-23j
2.877e-07       2.092e+01+1.581e-36j      3.831e-08+3.292e-29j     -4.092e+01+2.510e-36j
4.316e-07       2.092e+01-5.894e-49j     -2.894e-09-1.228e-41j     -2.728e+01-6.241e-49j
5.755e-07       2.092e+01+6.086e-61j      2.708e-08+1.268e-53j     -2.046e+01+4.833e-61j
7.194e-07       2.092e+01+1.064e-75j      4.240e-08+2.217e-68j     -1.636e+01+6.760e-76j
8.632e-07       2.093e+01+1.069e-79j     -2.136e-08-9.080e-80j     -1.363e+01+5.660e-80j
1.007e-06       2.093e+01+1.865e-50j     -8.295e-09+3.887e-43j     -1.168e+01+8.465e-51j
1.151e-06       2.094e+01+1.784e-44j     -3.008e-08+4.892e-44j     -1.022e+01+7.082e-45j
1.295e-06       2.094e+01+1.149e-26j     -2.630e-07+2.395e-19j     -9.085e+00+4.054e-27j
1.439e-06       2.095e+01+3.272e-28j      1.179e-08+5.961e-34j     -8.175e+00+1.040e-28j
1.583e-06       2.095e+01+3.321e-23j      2.925e-08-2.654e-29j     -7.430e+00+9.590e-24j
1.726e-06       2.096e+01+2.102e-19j     -1.107e-07-5.536e-27j     -6.809e+00+5.565e-20j
1.870e-06       2.096e+01+1.886e-16j     -6.886e-08+2.708e-20j     -6.284e+00+4.609e-17j
2.014e-06       2.097e+01+4.112e-14j      1.591e-07+1.988e-17j     -5.833e+00+9.330e-15j
2.158e-06       2.098e+01+3.137e-12j     -3.434e-08-1.382e-18j     -5.443e+00+6.644e-13j
2.302e-06       2.099e+01+1.081e-10j     -2.852e-08+1.432e-13j     -5.101e+00+2.145e-11j
2.446e-06       2.100e+01+2.016e-09j      1.362e-08-2.652e-15j     -4.799e+00+3.766e-10j
2.590e-06       2.101e+01+2.326e-08j      1.502e-08+5.653e-11j     -4.530e+00+4.104e-09j
2.734e-06       2.102e+01+1.832e-07j     -4.191e-09-4.385e-13j     -4.290e+00+3.062e-08j
2.877e-06       2.103e+01+1.061e-06j      3.295e-08-3.447e-12j     -4.074e+00+1.686e-07j
3.021e-06       2.105e+01+4.792e-06j     -9.662e-09-1.079e-11j     -3.878e+00+7.248e-07j
